Order ID,Order Date,CustomerName,State,City,Age 
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,31
B-25602,01-04-2018,Pearl,Maharashtra,Pune,27
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,26
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,37
B-25605,05-04-2018,Kasheen,West Bengal,Kolkata,27
B-25606,06-04-2018,Hazel,Karnataka,Bangalore,38
B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir,38
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,46
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,24
B-25610,09-04-2018,Yogesh,Bihar,Patna,42
B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram,32
B-25612,12-04-2018,Shrichand,Punjab,Chandigarh,15
B-25613,12-04-2018,Mukesh,Haryana,Chandigarh,38
B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,16
B-25615,15-04-2018,Bhavna,Sikkim,Gangtok,36
B-25616,15-04-2018,Kanak,Goa,Goa,21
B-25617,17-04-2018,Sagar,Nagaland,Kohima,19
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,31
B-25619,18-04-2018,Ramesh,Gujarat,Ahmedabad,47
B-25620,20-04-2018,Sarita,Maharashtra,Pune,32
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,17
B-25622,22-04-2018,Monisha,Rajasthan,Jaipur,31
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,38
B-25624,22-04-2018,Vini,Karnataka,Bangalore,26
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,47
B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,26
B-25627,23-04-2018,Hitika,Madhya Pradesh,Indore,15
B-25628,24-04-2018,Pooja,Bihar,Patna,16
B-25629,24-04-2018,Hemant,Kerala ,Thiruvananthapuram,40
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,46
B-25631,24-04-2018,Ritu,Haryana,Chandigarh,27
B-25632,25-04-2018,Manish,Himachal Pradesh,Simla,38
B-25633,26-04-2018,Amit,Sikkim,Gangtok,23
B-25634,26-04-2018,Sanjay,Goa,Goa,21
B-25635,26-04-2018,Nidhi,Nagaland,Kohima,31
B-25636,26-04-2018,Nishi,Maharashtra,Mumbai,42
B-25637,26-04-2018,Ashmi,Madhya Pradesh,Indore,33
B-25638,26-04-2018,Parth,Maharashtra,Pune,34
B-25639,27-04-2018,Lisha,Madhya Pradesh,Bhopal,29
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,41
B-25641,27-04-2018,Parishi,West Bengal,Kolkata,48
B-25642,28-04-2018,Ajay,Karnataka,Bangalore,24
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,49
B-25644,30-04-2018,Mayank,Maharashtra,Mumbai,20
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,30
B-25646,01-05-2018,Sonal,Bihar,Patna,26
B-25647,03-05-2018,Sharda,Kerala ,Thiruvananthapuram,49
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,28
B-25649,05-05-2018,Rachna,Haryana,Chandigarh,15
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,44
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,35
B-25652,08-05-2018,Tushina,Goa,Goa,28
B-25653,08-05-2018,Farah,Nagaland,Kohima,45
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,33
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,48
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,15
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,50
B-25658,14-05-2018,Shefali,Rajasthan,Jaipur,25
B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata,25
B-25660,16-05-2018,Shruti,Karnataka,Bangalore,22
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,44
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,41
B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore,41
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,34
B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram,39
B-25666,22-05-2018,Tanvi,Punjab,Chandigarh,32
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,38
B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla,31
B-25669,25-05-2018,Piyali,Sikkim,Gangtok,33
B-25670,25-05-2018,Charika,Goa,Goa,39
B-25671,27-05-2018,Mitali,Nagaland,Kohima,35
B-25672,28-05-2018,Akanksha,Andhra Pradesh,Hyderabad,37
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,29
B-25674,28-05-2018,Mahima,Maharashtra,Pune,41
B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal,46
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,35
B-25677,02-06-2018,Ekta,West Bengal,Kolkata,22
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,46
B-25679,04-06-2018,Avni,Maharashtra,Mumbai,15
B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore,40
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,38
B-25682,07-06-2018,Krutika,Bihar,Patna,32
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,23
B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai,49
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,29
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,43
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,45
B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore,25
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,35
